redis/0                                   10:07:08.318 | 72405:C 14 Oct 2020 10:07:08.318 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
                                                       | 72405:C 14 Oct 2020 10:07:08.318 # Redis version=5.0.6, bits=64, commit=00000000, modified=0, pid=72405, just started
                                                       | 72405:C 14 Oct 2020 10:07:08.318 # Configuration loaded
redis/0                                   10:07:08.320 | 72405:M 14 Oct 2020 10:07:08.320 # Could not create server TCP listening socket 127.0.0.1:10004: bind: Address already in use
versioncontrol/0                          10:07:08.339 | INFO	process/exec_conf.go:284	Configuration loaded	{"Location": "/Users/yingrongzhao/Library/Application Support/Storj/Local-Network/versioncontrol/0/config.yaml"}
                                                       | DEBUG	process/tracing.go:74	Anonymized tracing disabled
versioncontrol/0                          10:07:08.339 | DEBUG	process/debug.go:37	debug server listening on 127.0.0.1:12009
versioncontrol/0                          10:07:08.339 | DEBUG	versioncontrol/peer.go:185	Setting version info.	{"Value": "{\"Satellite\":{\"major\":0,\"minor\":0,\"patch\":1},\"Storagenode\":{\"major\":0,\"minor\":0,\"patch\":1},\"Uplink\":{\"major\":0,\"minor\":0,\"patch\":1},\"Gateway\":{\"major\":0,\"minor\":0,\"patch\":1},\"Identity\":{\"major\":0,\"minor\":0,\"patch\":1},\"processes\":{\"satellite\":{\"minimum\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"suggested\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"rollout\":{\"seed\":\"0000000000000000000000000000000000000000000000000000000000000001\",\"cursor\":\"\"}},\"storagenode\":{\"minimum\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"suggested\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"rollout\":{\"seed\":\"0000000000000000000000000000000000000000000000000000000000000001\",\"cursor\":\"\"}},\"storagenode-updater\":{\"minimum\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"suggested\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"rollout\":{\"seed\":\"0000000000000000000000000000000000000000000000000000000000000001\",\"cursor\":\"\"}},\"uplink\":{\"minimum\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"suggested\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"rollout\":{\"seed\":\"0000000000000000000000000000000000000000000000000000000000000001\",\"cursor\":\"\"}},\"gateway\":{\"minimum\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"suggested\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"rollout\":{\"seed\":\"0000000000000000000000000000000000000000000000000000000000000001\",\"cursor\":\"\"}},\"identity\":{\"minimum\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"suggested\":{\"version\":\"v0.0.1\",\"url\":\"\"},\"rollout\":{\"seed\":\"0000000000000000000000000000000000000000000000000000000000000001\",\"cursor\":\"\"}}}}"}
versioncontrol/0                          10:07:08.340 | INFO	versioncontrol/peer.go:212	Versioning server started.	{"Address": "127.0.0.1:12000"}
satellite-migration/0                     10:07:08.438 | INFO	process/exec_conf.go:284	Configuration loaded	{"Location": "/Users/yingrongzhao/Library/Application Support/Storj/Local-Network/satellite/0/config.yaml"}
satellite-migration/0                     10:07:08.438 | DEBUG	process/tracing.go:74	Anonymized tracing disabled
satellite-migration/0                     10:07:08.444 | DEBUG	migration	satellitedb/database.go:87	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%22&application_name=Satellite"}
satellite-migration/0                     10:07:08.455 | INFO	migration.migrate	migrate/versions.go:209	Database Version	{"version": 127}
satellite-migration/0                     10:07:08.458 | DEBUG	migration	metainfo/config.go:104	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%2Fmeta%22"}
satellite-repairer/0                      10:07:08.593 | INFO	process/exec_conf.go:284	Configuration loaded	{"Location": "/Users/yingrongzhao/Library/Application Support/Storj/Local-Network/satellite/0/config.yaml"}
satellite-repairer/0                      10:07:08.593 | DEBUG	process/tracing.go:74	Anonymized tracing disabled
satellite-core/0                          10:07:08.593 | INFO	process/exec_conf.go:284	Configuration loaded	{"Location": "/Users/yingrongzhao/Library/Application Support/Storj/Local-Network/satellite/0/config.yaml"}
satellite-admin/0                         10:07:08.593 | INFO	process/exec_conf.go:284	Configuration loaded	{"Location": "/Users/yingrongzhao/Library/Application Support/Storj/Local-Network/satellite/0/config.yaml"}
satellite-core/0                          10:07:08.593 | DEBUG	process/tracing.go:74	Anonymized tracing disabled
satellite-admin/0                         10:07:08.593 | DEBUG	process/tracing.go:74	Anonymized tracing disabled
satellite-garbage-collection/0            10:07:08.594 | INFO	process/exec_conf.go:284	Configuration loaded	{"Location": "/Users/yingrongzhao/Library/Application Support/Storj/Local-Network/satellite/0/config.yaml"}
satellite-garbage-collection/0            10:07:08.594 | DEBUG	process/tracing.go:74	Anonymized tracing disabled
satellite/0                               10:07:08.595 | INFO	process/exec_conf.go:284	Configuration loaded	{"Location": "/Users/yingrongzhao/Library/Application Support/Storj/Local-Network/satellite/0/config.yaml"}
satellite/0                               10:07:08.595 | DEBUG	process/tracing.go:74	Anonymized tracing disabled
satellite-admin/0                         10:07:08.606 | DEBUG	db	satellitedb/database.go:87	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%22&application_name=Satellite"}
satellite-repairer/0                      10:07:08.606 | DEBUG	db	satellitedb/database.go:87	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%22&application_name=Satellite"}
satellite-core/0                          10:07:08.606 | DEBUG	db	satellitedb/database.go:87	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%22&application_name=Satellite"}
satellite-garbage-collection/0            10:07:08.606 | DEBUG	db	satellitedb/database.go:87	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%22&application_name=Satellite"}
satellite-admin/0                         10:07:08.607 | DEBUG	process/metrics.go:66	Telemetry disabled
satellite/0                               10:07:08.608 | DEBUG	db	satellitedb/database.go:87	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%22&application_name=Satellite"}
satellite-admin/0                         10:07:08.609 | DEBUG	db	migrate/versions.go:143	Database version is up to date	{"version": 127}
satellite-admin/0                         10:07:08.609 | DEBUG	servers	lifecycle/group.go:68	started	{"items": ["debug", "admin"]}
                                                       | DEBUG	services	lifecycle/group.go:68	started	{"items": ["version"]}
satellite-core/0                          10:07:08.610 | DEBUG	pointerdb	metainfo/config.go:104	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%2Fmeta%22"}
satellite-core/0                          10:07:08.611 | INFO	satellite/core.go:185	Version info	{"Version": "0.0.0", "Commit Hash": "", "Build Timestamp": "0001-01-01 00:00:00 +0000 UTC", "Release Build": false}
satellite-repairer/0                      10:07:08.611 | DEBUG	pointerdb	metainfo/config.go:104	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%2Fmeta%22"}
satellite-repairer/0                      10:07:08.611 | INFO	satellite/repairer.go:104	Version info	{"Version": "0.0.0", "Commit Hash": "", "Build Timestamp": "0001-01-01 00:00:00 +0000 UTC", "Release Build": false}
satellite-garbage-collection/0            10:07:08.611 | DEBUG	pointerdb	metainfo/config.go:104	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%2Fmeta%22"}
satellite-garbage-collection/0            10:07:08.611 | INFO	satellite/gc.go:106	Version info	{"Version": "0.0.0", "Commit Hash": "", "Build Timestamp": "0001-01-01 00:00:00 +0000 UTC", "Release Build": false}
satellite-repairer/0                      10:07:08.611 | DEBUG	process/metrics.go:66	Telemetry disabled
satellite-core/0                          10:07:08.612 | DEBUG	process/metrics.go:66	Telemetry disabled
satellite-garbage-collection/0            10:07:08.612 | DEBUG	process/metrics.go:66	Telemetry disabled
satellite/0                               10:07:08.613 | DEBUG	pointerdb	metainfo/config.go:104	Connected to:	{"db source": "postgres://yingrongzhao@localhost/storjsim?sslmode=disable&options=--search_path%3D%22satellite%2F0%2Fmeta%22"}
satellite/0                               10:07:08.613 | INFO	satellite/api.go:204	Version info	{"Version": "0.0.0", "Commit Hash": "", "Build Timestamp": "0001-01-01 00:00:00 +0000 UTC", "Release Build": false}
satellite/0                               10:07:08.614 | DEBUG	marketing:endpoint	marketingweb/server.go:77	Starting Marketing Admin UI.	{"Address": "127.0.0.1:10003"}
